抽せん日,本数字,回別,ストレート,ボックス,セット(ストレート),セット(ボックス),ミニ
1997-10-31,"[7, 7, 7]",第309回,,,,,
1997-11-03,"[5, 7, 5]",第310回,,,,,
1997-11-05,"[1, 0, 4]",第311回,,,,,
1997-11-07,"[0, 6, 8]",第312回,,,,,
1997-11-10,"[0, 6, 9]",第313回,,,,,
1997-11-12,"[2, 4, 2]",第314回,,,,,
1997-11-14,"[1, 3, 7]",第315回,,,,,
1997-11-17,"[2, 1, 8]",第316回,,,,,
1997-11-19,"[1, 9, 0]",第317回,,,,,
1997-11-21,"[5, 3, 7]",第318回,,,,,
1997-11-24,"[3, 9, 5]",第319回,,,,,
1997-11-26,"[5, 9, 8]",第320回,,,,,
1997-11-28,"[4, 2, 9]",第321回,,,,,
1997-12-01,"[0, 6, 4]",第322回,,,,,
1997-12-03,"[3, 7, 5]",第323回,,,,,
1997-12-05,"[8, 0, 5]",第324回,,,,,
1997-12-08,"[5, 3, 1]",第325回,,,,,
1997-12-10,"[9, 3, 0]",第326回,,,,,
1997-12-12,"[9, 8, 0]",第327回,,,,,
1997-12-15,"[7, 3, 6]",第328回,,,,,
1997-12-17,"[5, 4, 3]",第329回,,,,,
1997-12-19,"[1, 7, 9]",第330回,,,,,
1997-12-22,"[1, 9, 6]",第331回,,,,,
1997-12-24,"[1, 6, 7]",第332回,,,,,
1997-12-26,"[2, 3, 8]",第333回,,,,,
1997-12-29,"[4, 8, 0]",第334回,,,,,
1998-01-05,"[9, 5, 0]",第335回,,,,,
1998-01-07,"[5, 5, 1]",第336回,,,,,
1998-01-09,"[6, 3, 2]",第337回,,,,,
1998-01-12,"[7, 0, 4]",第338回,,,,,
1998-01-14,"[1, 5, 2]",第339回,,,,,
1998-01-16,"[9, 9, 2]",第340回,,,,,
1998-01-19,"[2, 5, 9]",第341回,,,,,
1998-01-21,"[6, 8, 6]",第342回,,,,,
1998-01-23,"[9, 9, 7]",第343回,,,,,
1998-01-26,"[0, 3, 5]",第344回,,,,,
1998-01-28,"[5, 1, 3]",第345回,,,,,
1998-01-30,"[0, 0, 0]",第346回,,,,,
1998-02-02,"[7, 1, 8]",第347回,,,,,
1998-02-04,"[3, 9, 4]",第348回,,,,,
1998-02-06,"[4, 3, 1]",第349回,,,,,
1998-02-09,"[6, 3, 8]",第350回,,,,,
1998-02-11,"[4, 1, 7]",第351回,,,,,
1998-02-13,"[0, 3, 8]",第352回,,,,,
1998-02-16,"[9, 9, 6]",第353回,,,,,
1998-02-18,"[7, 5, 0]",第354回,,,,,
1998-02-20,"[4, 8, 7]",第355回,,,,,
1998-02-23,"[8, 5, 2]",第356回,,,,,
1998-02-25,"[7, 5, 6]",第357回,,,,,
1998-02-27,"[4, 6, 9]",第358回,,,,,
1998-03-02,"[2, 7, 7]",第359回,,,,,
1998-03-04,"[9, 6, 5]",第360回,,,,,
1998-03-06,"[9, 6, 5]",第361回,,,,,
1998-03-09,"[6, 4, 0]",第362回,,,,,
1998-03-11,"[4, 5, 8]",第363回,,,,,
1998-03-13,"[9, 0, 8]",第364回,,,,,
1998-03-16,"[8, 8, 7]",第365回,,,,,
1998-03-18,"[8, 4, 1]",第366回,,,,,
1998-03-20,"[7, 7, 8]",第367回,,,,,
1998-03-23,"[8, 0, 5]",第368回,,,,,
1998-03-25,"[1, 3, 5]",第369回,,,,,
1998-03-27,"[0, 9, 1]",第370回,,,,,
1998-03-30,"[7, 9, 8]",第371回,,,,,
1998-04-01,"[2, 0, 2]",第372回,,,,,
1998-04-03,"[4, 1, 7]",第373回,,,,,
1998-04-06,"[4, 0, 9]",第374回,,,,,
1998-04-08,"[9, 9, 4]",第375回,,,,,
1998-04-10,"[2, 7, 4]",第376回,,,,,
1998-04-13,"[1, 5, 5]",第377回,,,,,
1998-04-15,"[0, 7, 5]",第378回,,,,,
1998-04-17,"[6, 4, 9]",第379回,,,,,
1998-04-20,"[8, 2, 0]",第380回,,,,,
1998-04-22,"[8, 8, 5]",第381回,,,,,
1998-04-24,"[6, 0, 6]",第382回,,,,,
1998-04-27,"[0, 8, 1]",第383回,,,,,
1998-04-29,"[6, 9, 0]",第384回,,,,,
1998-05-01,"[3, 3, 2]",第385回,,,,,
1998-05-04,"[5, 7, 8]",第386回,,,,,
1998-05-06,"[3, 9, 6]",第387回,,,,,
1998-05-08,"[2, 2, 7]",第388回,,,,,
1998-05-11,"[2, 7, 5]",第389回,,,,,
1998-05-13,"[9, 5, 6]",第390回,,,,,
1998-05-15,"[0, 6, 6]",第391回,,,,,
1998-05-18,"[4, 2, 6]",第392回,,,,,
1998-05-20,"[0, 2, 9]",第393回,,,,,
1998-05-22,"[7, 2, 9]",第394回,,,,,
1998-05-25,"[4, 4, 0]",第395回,,,,,
1998-05-27,"[9, 6, 3]",第396回,,,,,
1998-05-29,"[3, 4, 5]",第397回,,,,,
1998-06-01,"[2, 7, 4]",第398回,,,,,
1998-06-03,"[8, 1, 6]",第399回,,,,,
1998-06-05,"[5, 9, 6]",第400回,,,,,
1998-06-08,"[3, 5, 4]",第401回,,,,,
1998-06-10,"[0, 5, 8]",第402回,,,,,
1998-06-12,"[4, 3, 1]",第403回,,,,,
1998-06-15,"[1, 0, 9]",第404回,,,,,
1998-06-17,"[8, 9, 1]",第405回,,,,,
1998-06-19,"[2, 2, 2]",第406回,,,,,
1998-06-22,"[0, 4, 2]",第407回,,,,,
1998-06-24,"[2, 3, 7]",第408回,,,,,
1998-06-26,"[4, 0, 0]",第409回,,,,,
